n&Lambda&Max Error&Max Error Time
1.00E+07&5&0.4540927566&0.1920766711
1.00E+07&5&0.4540927566&0.1916253435
1.00E+07&5&0.4728380255&0.7844434818
1.00E+07&5&0.5329665297&0.7291409139
1.00E+07&5&0.8393677523&0.6005325036
1.00E+07&5&0.8667752016&0.9951312346
1.00E+07&5&1.0275837215&0.800571488
1.00E+07&5&1.1063713551&0.898337884
1.00E+07&5&0.4728380255&0.783994992
